jahr,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2020,230,Winterthur,80-84,Schweiz,weiblich,1441,false
2020,230,Winterthur,85-89,Ausland,männlich,100,false
2020,230,Winterthur,85-89,Ausland,weiblich,91,false
2020,230,Winterthur,85-89,Schweiz,männlich,605,false
2020,230,Winterthur,85-89,Schweiz,weiblich,1023,false
2020,230,Winterthur,90-94,Ausland,männlich,27,false
2020,230,Winterthur,90-94,Ausland,weiblich,29,false
2020,230,Winterthur,90-94,Schweiz,männlich,265,false
2020,230,Winterthur,90-94,Schweiz,weiblich,548,false
2020,230,Winterthur,95+,Ausland,männlich,,true
2020,230,Winterthur,95+,Ausland,weiblich,,true
2020,230,Winterthur,95+,Schweiz,männlich,44,false
2020,230,Winterthur,95+,Schweiz,weiblich,177,false
2019,230,Winterthur,00-04,Ausland,männlich,842,false
2019,230,Winterthur,00-04,Ausland,weiblich,778,false
2019,230,Winterthur,00-04,Schweiz,männlich,2348,false
2019,230,Winterthur,00-04,Schweiz,weiblich,2307,false
2019,230,Winterthur,05-09,Ausland,männlich,800,false
2019,230,Winterthur,05-09,Ausland,weiblich,774,false
2019,230,Winterthur,05-09,Schweiz,männlich,2172,false
2019,230,Winterthur,05-09,Schweiz,weiblich,2119,false
2019,230,Winterthur,10-14,Ausland,männlich,710,false
2019,230,Winterthur,10-14,Ausland,weiblich,631,false
2019,230,Winterthur,10-14,Schweiz,männlich,2192,false
2019,230,Winterthur,10-14,Schweiz,weiblich,1962,false
2019,230,Winterthur,15-19,Ausland,männlich,541,false
2019,230,Winterthur,15-19,Ausland,weiblich,445,false
2019,230,Winterthur,15-19,Schweiz,männlich,2110,false
2019,230,Winterthur,15-19,Schweiz,weiblich,2007,false
2019,230,Winterthur,20-24,Ausland,männlich,830,false
2019,230,Winterthur,20-24,Ausland,weiblich,695,false
2019,230,Winterthur,20-24,Schweiz,männlich,2886,false
2019,230,Winterthur,20-24,Schweiz,weiblich,3131,false
2019,230,Winterthur,25-29,Ausland,männlich,1313,false
2019,230,Winterthur,25-29,Ausland,weiblich,1259,false
2019,230,Winterthur,25-29,Schweiz,männlich,3848,false
2019,230,Winterthur,25-29,Schweiz,weiblich,3943,false
2019,230,Winterthur,30-34,Ausland,männlich,1601,false
2019,230,Winterthur,30-34,Ausland,weiblich,1618,false
2019,230,Winterthur,30-34,Schweiz,männlich,3751,false
2019,230,Winterthur,30-34,Schweiz,weiblich,3483,false
