jahr,gemeinde_bfs_nr,gemeinde,stadtkreis_bfs_nr,stadtkreis,quartier_bfs_nr,quartier,staatenkleingruppe,region,anzahl,anzahl_ist_kleingruppe
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Spanien,Südeuropa,47,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Türkei,Osteuropa,170,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",112,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,übriges Südosteuropa,Südosteuropa,57,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,unbekannt,unbekannt,6,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Westeuropa,"Nord-, Mittel- und Westeuropa",49,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Afrika,übrige Kontinente,103,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Amerika,übrige Kontinente,36,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Asien,übrige Kontinente,145,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Australien und Ozeanien,übrige Kontinente,,true
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Bosnien u. Herzegowina,Südosteuropa,,true
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Deutschland,"Nord-, Mittel- und Westeuropa",108,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Italien,Südeuropa,211,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Kosovo,Südosteuropa,97,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Mazedonien,Südosteuropa,115,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Österreich,"Nord-, Mittel- und Westeuropa",23,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Osteuropa und Russland,Osteuropa,47,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Portugal,Südeuropa,40,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Schweiz,"Nord-, Mittel- und Westeuropa",1869,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Serbien,Südosteuropa,72,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Spanien,Südeuropa,33,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Türkei,Osteuropa,169,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",70,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,übriges Südosteuropa,Südosteuropa,33,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,unbekannt,unbekannt,4,false
2023,230,Winterthur,7,Mattenbach,720,Gutschick,Westeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,6,Wülflingen,660,Hardau,Asien,übrige Kontinente,,true
2023,230,Winterthur,6,Wülflingen,660,Hardau,Deutschland,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,6,Wülflingen,660,Hardau,Italien,Südeuropa,,true
2023,230,Winterthur,6,Wülflingen,660,Hardau,Österreich,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,6,Wülflingen,660,Hardau,Osteuropa und Russland,Osteuropa,,true
2023,230,Winterthur,6,Wülflingen,660,Hardau,Schweiz,"Nord-, Mittel- und Westeuropa",308,false
2023,230,Winterthur,6,Wülflingen,660,Hardau,Türkei,Osteuropa,,true
2023,230,Winterthur,6,Wülflingen,660,Hardau,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,6,Wülflingen,670,Härti,Afrika,übrige Kontinente,72,false
2023,230,Winterthur,6,Wülflingen,670,Härti,Amerika,übrige Kontinente,67,false
2023,230,Winterthur,6,Wülflingen,670,Härti,Asien,übrige Kontinente,157,false
2023,230,Winterthur,6,Wülflingen,670,Härti,Bosnien u. Herzegowina,Südosteuropa,,true
